"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-23","0.00",,"39","44","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-24","0.00",,"39",,"34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-25","0.30",,"47","49","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-26","0.06",,"44","49",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-27","0.01",,"38","46","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-28","0.04",,"46","50","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-29","0.01",,"53","57","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-11-30","0.00",,"53","56","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-01","0.01",,"55","57","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-02","0.00",,"52","55",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-03","0.00",,"47","53","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-04","0.02",,"49","53",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-05","0.00",,"43","50","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-06","0.00",,"50","55","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-07","0.00",,"51","58",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-08","0.00",,"49","54","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-09","0.26",,"46","53",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-10","0.00",,"38","43",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-11","0.00",,"44",,"35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-12","0.00",,"50","53",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-13","0.00",,"43","51",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-14","0.00",,"42",,"38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-15","0.00",,"49","53","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-16","0.29",,"55","59","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-17","0.00",,"56","61","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-18","0.03",,"54","58","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-19","0.00",,"53","59","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-20","0.00",,"54","59","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-21","0.00",,"53","56","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-22","0.02",,"54","60","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-23","0.01",,"52","57",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-24","0.00",,"52","56","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-25","0.13",,"53","57","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-26","0.00",,"50","56","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-27","0.00",,"49","56","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-28","0.00",,"47","53","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-29","0.02",,"49","55",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-30","0.01",,"47",,"43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2015-12-31","0.07",,"49","54",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-01","0.00",,"44","48","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-02","0.06",,"48","52","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-03","0.06",,"45","48","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-04","0.33",,"45","51","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-05","0.00",,"45","49","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-06","0.02",,"46","51",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-07","0.02",,"47","54",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-08","0.22",,"42","47","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-09","0.00",,"47","53","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-10","0.14",,"43","51",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-11","0.25",,"45","48","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-12","0.03",,"44","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-13","0.00",,"42","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-14","0.00",,"41","47","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-15","0.11",,"38","42","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-16","0.00",,"38","43","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-17","0.00",,"38","41",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-18","0.00",,"31","38",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-19","0.00",,"32","35","28"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-20","0.00",,"28","34","24"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-21","0.00",,"31","39","24"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-22","0.00",,"37",,"30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-23","0.01",,"44","46","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-24","0.02",,"47","52","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-25","0.00",,"49","57","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-26","0.00",,"50","53","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-27","0.01",,"52","54","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-28","0.11",,"48","53",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-29","0.00",,"45","49","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-30","0.01",,"47","49",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-01-31","0.37",,"51","57","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-01","0.06",,"54","57","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-02","0.00",,"50","55",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-03","0.08",,"44","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-04","0.02",,"47","53","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-05","0.01",,"50","52",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-06","0.00",,"51","58","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-07","0.15",,"48","56","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-08","0.02",,"49","53","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-09","0.24",,"45","55",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-10","0.34",,"42","48","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-11","0.02",,"42","49","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-12","0.01",,"39","43","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-13","0.16",,"44","49","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-14","0.45",,"43","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-15","0.10",,"40","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-16","0.00",,"38","44","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-17","0.00",,"34","41","30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-18","0.00",,"35",,"30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-19","0.03",,"42","50","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-20","0.05",,"50","55","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-21","0.02",,"53","56","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-22","0.00",,"52","55","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-23","0.24",,"45","52","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-24","0.02",,"41","47","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-25","0.01",,"40","45","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-26","0.00",,"38","46","32"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-27","0.00",,"40","47","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-28","0.00",,"39","46","33"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-02-29","0.00",,"40","47","33"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-01","0.00",,"42",,"36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-02","0.16",,"46","52","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-03","0.20",,"44","47","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-04","0.20",,"43","49",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-05","0.48",,"40","46","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-06","0.08",,"42","47","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-07","0.01",,"39","44","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-08","0.02",,"42","49","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-09","0.00",,"43","49","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-10","0.24",,"45","49","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-11","0.00",,"47","53","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-12","0.00",,"46","54","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-13","0.00",,"44","53","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-14","0.00",,"43","49","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-15","0.00",,"46","56","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-16","0.01",,"44","53","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-17","0.00",,"46","56","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-18","0.00",,"44","53","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-19","0.00",,"43","47","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-20","0.00",,"43","45","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-21","0.00",,"46","51","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-22","0.00",,"49","56","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-23","0.00",,"48","52","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-24","0.00",,"49","52","46"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-25","0.08",,"50","59","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-26","0.06",,"53","59","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-27","0.41",,"50","59","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-28","0.10",,"51","60","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-29","0.37",,"50","59","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-30","0.15",,"48","53",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-03-31","0.34",,"44","46","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-01","0.72",,"47","55","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-02","0.00",,"45",,"39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-03","0.13",,"59","71","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-04","0.12",,"56","64","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-05","0.02",,"55","63","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-06","0.00",,"52","60","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-07","0.07",,"47","54","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-08","0.12",,"49","57","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-09","0.00",,"48","57","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-10","0.08",,"53","65","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-11","0.00",,"53","62",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-12","0.14",,"53","63","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-13","0.12",,"55","64","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-14","0.03",,"54","64","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-15","0.11",,"55","61","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-16","0.14",,"53","61",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-17","0.00",,"46","54","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-18","0.00",,"50","59","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-19","0.00",,"53","62","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-20","0.00",,"57","69","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-21","0.00",,"61","72","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-22","0.00",,"59","67",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-23","0.02",,"49","59",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-24","0.00",,"44","49","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-25","0.08",,"46","53","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-26","0.13",,"43","49","39"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-27","0.04",,"43","53","37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-28","0.09",,"47","55","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-29","0.00",,"50","59","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-04-30","0.11",,"47","51","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-01","0.02",,"51","62","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-02","0.00",,"56","67","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-03","0.01",,"55","63","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-04","0.00",,"57","67","45"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-05","0.00",,"60","71","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-06","0.00",,"65","79","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-07","0.00",,"66","76","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-08","0.00",,"69","79","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-09","0.00",,"65","74",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-10","0.17",,"61","66","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-11","0.20",,"60","65","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-12","0.26",,"61","67","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-13","0.58",,"62","74",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-14","0.01",,"52","69",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-15","0.00",,"53","61","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-16","0.00",,"56","64","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-17","0.00",,"58","66","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-18","0.00",,"57","62",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-19","0.29",,"55","63","49"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-20","0.04",,"61","71","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-21","0.00",,"67","78","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-22","0.38",,"58","71",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-23","0.89",,"55","60","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-24","0.62",,"54","60","50"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-25","0.00",,"58","69","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-26","0.00",,"63","71","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-27","0.06",,"67","77","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-28","0.00",,"65","75","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-29","0.67",,"61","67","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-30","0.43",,"56","62","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-05-31","2.08",,"56","58","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-01","0.33",,"59","63",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-02","0.26",,"55","60",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-03","0.05",,"54","57","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-04","0.00",,"59","63","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-05","0.06",,"61","68","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-06","0.02",,"66","77","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-07","0.00",,"71","81","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-08","0.00",,"67","75","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-09","0.00",,"66","77","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-10","0.00",,"68","77","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-11","0.01",,"66","72","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-12","0.00",,"63","68","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-13","0.01",,"61","65","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-14","0.46",,"61","69",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-15","0.09",,"60","70","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-16","0.08",,"60","70","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-17","0.09",,"61","71","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-18","0.12",,"61","68","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-19","0.14",,"64","72","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-20","0.01",,"61","71","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-21","0.45",,"67","74","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-22","0.00",,"74","84","66"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-23","0.01",,"79","91","69"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-24","0.00",,"70","87","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-25","0.04",,"64","74","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-26","0.00",,"63","72","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-27","0.00",,"65","72","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-28","0.11",,"66","73","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-29","0.00",,"66","75","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-06-30","0.00",,"67","75","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-01","0.04",,"66","73",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-02","0.15",,"62","71","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-03","0.04",,"61","65","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-04","0.11",,"65","73","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-05","0.00",,"66","72",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-06","0.00",,"66","77","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-07","0.00",,"72","84","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-08","0.00",,"73","83","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-09","0.00",,"74","84","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-10","0.00",,"77","88","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-11","0.00",,"68","82","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-12","0.00",,"63","73",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-13","0.27",,"61","68","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-14","0.00",,"62","70","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-15","0.00",,"65","74","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-16","0.00",,"70","81","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-17","0.00",,"74","85","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-18","0.00",,"78","90","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-19","0.00",,"84","96","69"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-20","0.00",,"80","94","71"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-21","0.00",,"72","83","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-22","0.00",,"72","82","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-23","0.00",,"72","83","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-24","0.00",,"73","83","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-25","0.00",,"74","81",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-26","0.00",,"67","76","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-27","0.00",,"69","78","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-28","0.01",,"70","77","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-29","0.01",,"71","80","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-30","0.03",,"69","77","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-07-31","0.00",,"69","78","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-01","0.00",,"67","76","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-02","0.06",,"67","73","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-03","0.15",,"71","78","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-04","0.00",,"66","72","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-05","0.09",,"66","74","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-06","0.00",,"68","77","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-07","0.00",,"74","87","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-08","0.00",,"67","84","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-09","0.00",,"64","74","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-10","0.00",,"60","69","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-11","0.00",,"64","74","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-12","0.00",,"69","82","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-13","0.00",,"73","85","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-14","0.00",,"71","82","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-15","0.00",,"71","84","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-16","0.00",,"73","87","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-17","0.00",,"75","87","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-18","0.23",,"69","83","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-19","0.14",,"67","76",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-20","0.02",,"67","77","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-21","0.01",,"64","72","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-22","0.00",,"72","84","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-23","0.00",,"78","91","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-24","0.00",,"82","98","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-25","0.00",,"84","98","69"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-26",,,"85","93","74"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-27","0.00",,"82","94","70"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-28","0.00",,"75","89","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-29","0.00",,"68","77","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-30","0.00",,"70","81","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-08-31","0.00",,"73","83","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-09-01","0.00",,"70","80","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-09-02","0.00",,"72","83","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2016-09-03","0.00",,"72","83","63"
